condition,algorithm,arm_regime,k,round,n_sims,active_ecological_richness_mean,active_ecological_richness_sd,active_feasible_richness_mean,active_feasible_richness_sd,cumulative_unique_mean,cumulative_unique_sd,unique_share_mean,unique_share_sd,unique_over_active_mean,unique_over_active_sd,new_discovered_mean,new_discovered_sd,feasible_richness_mean,feasible_richness_sd,cumulative_unique_over_feasible_mean,cumulative_unique_over_feasible_sd
ecology_k_10,egreedy_0.1,fixed,10,60,100,10.0,0.0,9.99,0.099498743710662,6.93,2.136609463612852,0.693,0.21366094636128521,0.693,0.21366094636128521,0.08,0.2712931993250107,9.99,0.099498743710662,0.6936666666666667,0.21347365176995498
ecology_k_10,egreedy_0.1,fixed,10,61,100,10.0,0.0,9.99,0.099498743710662,6.97,2.1281682264332393,0.697,0.21281682264332394,0.697,0.21281682264332394,0.04,0.19595917942265426,9.99,0.099498743710662,0.6976666666666667,0.21261624271599447
ecology_k_10,egreedy_0.1,fixed,10,62,100,10.0,0.0,9.99,0.099498743710662,7.01,2.1094786085665813,0.701,0.21094786085665815,0.701,0.21094786085665815,0.04,0.19595917942265426,9.99,0.099498743710662,0.7016666666666667,0.2107328482542134
ecology_k_10,egreedy_0.1,fixed,10,63,100,10.0,0.0,9.99,0.099498743710662,7.05,2.108909670896314,0.705,0.21089096708963143,0.705,0.21089096708963143,0.04,0.19595917942265426,9.99,0.099498743710662,0.7057777777777777,0.2110144808090457
ecology_k_10,egreedy_0.1,fixed,10,64,100,10.0,0.0,9.99,0.099498743710662,7.13,2.110236953519675,0.713,0.21102369535196752,0.713,0.21102369535196752,0.08,0.2712931993250107,9.99,0.099498743710662,0.7137777777777777,0.2111176607171145
ecology_k_10,egreedy_0.1,fixed,10,65,100,10.0,0.0,9.99,0.099498743710662,7.24,2.1029503084951866,0.724,0.21029503084951864,0.724,0.21029503084951864,0.11,0.31288975694324034,9.99,0.099498743710662,0.7247777777777777,0.21034865237399444
ecology_k_10,egreedy_0.1,fixed,10,66,100,10.0,0.0,9.99,0.099498743710662,7.31,2.081802103947443,0.731,0.2081802103947443,0.731,0.2081802103947443,0.07,0.2551470164434615,9.99,0.099498743710662,0.7317777777777777,0.20820822910410305
ecology_k_10,egreedy_0.1,fixed,10,67,100,10.0,0.0,9.99,0.099498743710662,7.39,2.063467954682117,0.739,0.20634679546821172,0.739,0.20634679546821172,0.08,0.2712931993250107,9.99,0.099498743710662,0.7397777777777778,0.20634491082220136
ecology_k_10,egreedy_0.1,fixed,10,68,100,10.0,0.0,9.99,0.099498743710662,7.51,2.037130334563795,0.751,0.20371303345637953,0.751,0.20371303345637953,0.12,0.32496153618543844,9.99,0.099498743710662,0.7517777777777778,0.2036653027777573
ecology_k_10,egreedy_0.1,fixed,10,69,100,10.0,0.0,9.99,0.099498743710662,7.56,2.0606794995826014,0.756,0.20606794995826014,0.756,0.20606794995826014,0.05,0.21794494717703367,9.99,0.099498743710662,0.7567777777777778,0.20600188780149026
ecology_k_10,egreedy_0.1,fixed,10,70,100,10.0,0.0,9.99,0.099498743710662,7.72,2.06920274502041,0.772,0.206920274502041,0.772,0.206920274502041,0.16,0.3666060555964672,9.99,0.099498743710662,0.7728888888888888,0.2072293415518179
ecology_k_10,egreedy_0.1,fixed,10,71,100,10.0,0.0,9.99,0.099498743710662,7.81,2.028275129266244,0.781,0.20282751292662443,0.781,0.20282751292662443,0.09,0.2861817604250837,9.99,0.099498743710662,0.7818888888888889,0.2031034219307986
ecology_k_10,egreedy_0.1,fixed,10,72,100,10.0,0.0,9.99,0.099498743710662,7.89,2.0292609492127918,0.789,0.20292609492127917,0.789,0.20292609492127917,0.08,0.2712931993250107,9.99,0.099498743710662,0.79,0.20371548787463364
